Name,Min_CPU_Speed,Recommended_CPU_Speed,Min_GPU_Memory,Recommended_GPU_Memory,Min_RAM,Recommended_RAM,Min_OS,Recommended_OS,Min_Storage,Recommended_Storage,Release_Date
Witch Hunters: Full Moon Ceremony Collectors Edition,1.7,,64,,1 GB,0,Windows XP 32-bit,0,1.4 GB,0,8/3/2014
Warhammer 40000: Armageddon,1.63,2.1,320,640,1 GB,2 GB,Windows Vista 32-bit,Windows XP 32-bit,1 GB,1 GB,11/26/2014
X-Plane 10,2.05,3.1,192,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,7/14/2014
Wildstar,2.4,2.83,384,1024,3 GB,8 GB,Windows XP 32-bit,Windows 7 64-bit,30 GB,30 GB,6/3/2014
Yaiba: Ninja Gaiden Z,2.73,2.78,512,1024,3 GB,8 GB,Windows XP 32-bit,Windows 7 64-bit,7 GB,8 GB,3/21/2014
Windforge,2.35,3.115,128,1024,2 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,2 GB,2 GB,3/11/2014
World of Diving,2.35,3.05,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,8/26/2014
Wayward Manor,2.35,3.23,128,1024,2 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,7/15/2014
Yandere Simulator,3.25,2.95,4096,4096,8 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,2 GB,2 GB,4/1/2014
WazHack,2.1,2.7,320,384,0MB,2 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,0MB,2/17/2014
"Warhammer 40,000: Storm of Vengeance",2.05,2.465,192,,2 GB,3 GB,Windows XP 32-bit,Windows Vista 64-bit,5 GB,5 GB,2/27/2014
Whispering Willows,2.415,3.23,128,1024,4 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,3 GB,3 GB,7/9/2014
Warcide,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/24/2014
X Rebirth: The Teladi Outpost,2.165,3.3,768,1024,4 GB,8 GB,Windows XP 64-bit,Windows 7 64-bit,6 GB,10 GB,12/12/2014
World Of Warcraft: Warlords Of Draenor,2.4,3.35,1536,1152,1 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,35 GB,35 GB,11/13/2014
Wasteland 2,2.65,2.8,768,1024,4 GB,4 GB,Windows 7 32-bit,Windows 8 64-bit,30 GB,30 GB,9/19/2014
Volo Airsport,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/4/2014
Watch Dogs,2.83,3.7,896,1536,6 GB,8 GB,Windows Vista 64-bit,Windows 7 64-bit,20 GB,20 GB,5/27/2014
Viscera Cleanup Detail,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,4/4/2014
Wolfenstein: The New Order,2.83,3,1024,1024,3 GB,4 GB,Windows 7 64-bit,Windows 7 64-bit,50 GB,50 GB,5/20/2014
Watch Dogs: Conspiracy,2.83,3.7,896,1536,6 GB,8 GB,Windows Vista 64-bit,Windows 7 64-bit,20 GB,20 GB,6/3/2014
Veridia Tactics,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/15/2014
Warlock 2: The Exiled,3,3.3,640,1024,4 GB,4 GB,Windows Vista 64-bit,Windows 7 64-bit,0,0,4/10/2014
Velocibox,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/8/2014
Watch Dogs: Bad Blood,2.83,3.95,896,3584,6 GB,8 GB,Windows Vista 64-bit,Windows 7 64-bit,20 GB,20 GB,9/23/2014
unwind,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/15/2014
Unvanquished,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/28/2014
Uriels Chasm,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/12/2014
Unending Galaxy,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/30/2014
Untold Universe,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/14/2014
Unrest,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,7/23/2014
Vertiginous Golf,2,,512,,3 GB,0,Windows XP 32-bit,0,0MB,0,3/6/2014
Ultraworld,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/4/2014
Victory: The Age of Racing,2.1,3.2,768,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 32-bit,0MB,0MB,2/10/2014
Ultionus,1.8,,64,,0MB,0,Windows XP 32-bit,0,1 GB,0,2/25/2014
Ultimate General: Gettysburg,,,,,0,0,0,0,0,0,10/15/2014
Twilight Zone,,,,,0,0,0,0,0,0,9/11/2014
Ukrainian Ninja,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,8/27/2014
Truffle Saga,2.35,3.23,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,0MB,6/6/2014
TUG,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/28/2014
Wargame: Red Dragon,2.55,2.565,384,1024,2 GB,4 GB,Windows XP 32-bit,Windows Vista 64-bit,20 GB,20 GB,4/17/2014
Wargame: Red Dragon - The Millionth Mile,2.55,2.565,384,1024,2 GB,4 GB,Windows XP 32-bit,Windows Vista 64-bit,20 GB,20 GB,7/24/2014
Wargame: Red Dragon - Second Korean War,2.55,2.565,384,1024,2 GB,4 GB,Windows XP 32-bit,Windows Vista 64-bit,20 GB,20 GB,9/2/2014
Unclaimed World,2.1,,64,,1 GB,0,Windows Vista 32-bit,0,0MB,0,3/26/2014
War Of The Vikings,2.6,2.215,1024,4096,4 GB,8 GB,Windows Vista 64-bit,Windows 7 64-bit,20 GB,20 GB,4/15/2014
Zombies.,,,,,0,0,0,0,0,0,9/10/2012
War The Game,2.2,1.93,256,384,1 GB,2 GB,Windows XP 32-bit,Windows Vista 32-bit,2 GB,2 GB,5/12/2014
Zineth,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,8/3/2012
Zombie Football Carnage,,,,,0,0,0,0,0,0,1/3/2012
Valiant Hearts: The Great War,2.4,2,256,384,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,6 GB,6 GB,6/25/2014
Turbo Dismount,1.95,2.1,128,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0,1/10/2014
Trick or Threat!!!,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/14/2014
Triblaster,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/1/2014
Trigger Saint,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/1/2014
TRI:Of Friendship and Madness,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/9/2014
Ultra Street Fighter IV,2.25,2.63,256,256,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,12 GB,12 GB,8/7/2014
Zombies Ruined My Day,2,,128,,0MB,0,Windows XP 32-bit,0,0MB,0,3/1/2012
ZafeHouse: Diaries,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,9/28/2012
Zombie Driver HD,1.415,2.2,128,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,10/17/2012
Unturned,1.5,2.4585,64,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,7/8/2014
Ys: The Oath in Felghana,,,,,0,0,0,0,0,0,3/19/2012
Ys Origin,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,5/31/2012
Youda Farmer,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,12/30/2012
Tropico 5 - The Big Cheese,2.25,2.35,1024,1280,4 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,4 GB,4 GB,7/24/2014
Tropico 5 - Joint Venture,2.25,2.35,1024,1280,4 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,4 GB,4 GB,11/6/2014
Tropico 5 - Waterborne,2.25,2.35,1024,1280,4 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,4 GB,4 GB,12/17/2014
Tropico 5 - Mad World,2.25,2.35,1024,1280,4 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,4 GB,4 GB,9/25/2014
Tropico 5 - Generalissimo,2.25,2.35,1024,1280,4 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,4 GB,4 GB,10/16/2014
TransOcean: The Shipping Company,2.5,2.665,768,512,4 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,9/23/2014
Transformers Universe,2.55,,384,,2 GB,0,0,0,10 GB,0,1/1/2014
Transformers: Rise Of The Dark Spark,2.5,2.215,512,768,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,8.4 GB,8.4 GB,6/24/2014
Triad Wars,2.15,2.215,768,2048,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,15 GB,15 GB,1/1/2015
Towtruck Simulator 2015,,,,,0,0,0,0,0,0,3/11/2014
Toybox Turbos,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,11/12/2014
Total War: Rome II - Pirates and Raiders,,,,,0,0,0,0,0,0,5/29/2014
Tour de France 2014,2.35,3.115,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,3 GB,3 GB,6/20/2014
XCOM: Enemy Unknown Slingshot,2.15,2.75,384,512,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,20 GB,20 GB,12/4/2012
Wyv and Keep: The Temple of the Lost Idol,,,,,0,0,0,0,0,0,9/6/2012
World Zero Online,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 GB,11/20/2012
Tower Of Guns,2.65,2.8,960,1024,3 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,3/4/2014
XCOM: Enemy Unknown,2.15,2.75,384,512,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,20 GB,20 GB,10/12/2012
Transistor,2.6,3.15,1024,512,4 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,3 GB,3 GB,5/20/2014
Top Hat,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/31/2014
Total Pursuit Pro,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/21/2014
Yesterday,1.83,2.5,256,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,8 GB,8 GB,3/22/2012
TOME: Immortal Arena,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/21/2014
Trials Fusion,2.9,2.85,1536,1024,3 GB,4 GB,Windows 7 64-bit,Windows 7 64-bit,8 GB,8 GB,4/24/2014
Train Fever,2.4,3,192,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,9/4/2014
World of Warcraft: Mists of Pandaria,1.565,1.95,384,512,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,8 GB,8 GB,9/25/2012
WWE Wrestlefest,1.25,2.4,128,128,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/1/2012
Total War: Rome II - Hannibal at the Gates,2.05,2.95,384,768,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,35 GB,35 GB,3/27/2014
Total War: Rome II - Beasts of War,2.05,2.95,384,768,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,35 GB,35 GB,2/17/2014
TowerFall: Ascension,3.1665,3.165,512,256,2 GB,2 GB,Windows Vista 32-bit,Windows XP 32-bit,0MB,0MB,3/11/2014
Wooden SenSeY,2.35,3.115,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,0,0,12/30/2012
Wonder Boy in Monster World,,,,,0,0,0,0,0,0,5/3/2012
WMS Rome and Egypt Slot Machine,,,,,0,0,0,0,0,0,7/2/2012
XMoto,1.5,2.33,32,128,0MB,0MB,Windows 2000,Windows XP 32-bit,0MB,0MB,6/26/2012
Tom clancys Ghost Recon Phantoms,1.8,3,256,704,3 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,6 GB,6 GB,4/10/2014
Worms Revolution,2.065,3,0,512,0MB,4 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,10/10/2012
Will Fight for Food,,,,,0,0,0,0,0,0,1/29/2012
Windward,,,,,0,0,0,0,0,0,9/2/2012
WRC 3: FIA World Rally Championship,2.93,3.1,0,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,6 GB,6 GB,10/12/2012
TinyKeep,,,,,0,0,0,0,0,0,9/29/2014
Tiny Trek,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/15/2014
Winter Voices Ep 5: Overflow,2.4,,256,,2 GB,0,0,0,0MB,0,10/31/2012
This War Of Mine,2.6,2.83,640,960,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,11/14/2014
Thief Town,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/26/2014
Train Simulator 2015,2.9,3.08,768,768,2 GB,4 GB,Windows Vista 32-bit,Windows 7 32-bit,6 GB,6 GB,9/18/2014
Weather Lord,,,,,0,0,0,0,0,0,4/26/2012
Wartime,1.63,2.05,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,11/24/2012
Theme Park Studio,2.35,3.115,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,2/27/2014
The Yawhg,2,,64,,1 GB,0,Windows XP 32-bit,0,0MB,0,2/27/2014
Waveform,1.1,,128,,0MB,0,Windows XP 32-bit,0,1 GB,0,3/20/2012
Who Wants To Be A Millionaire,1.865,1.85,192,384,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/2/2012
Three Dead Zed,2.25,2.9,128,512,2 GB,3 GB,Windows XP 32-bit,Windows Vista 32-bit,0MB,0MB,7/7/2014
Titanfall - Expedition,2.6,2.73,512,1024,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,48 GB,48 GB,5/15/2014
The World 2,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/5/2014
Way of the Samurai 4,2.4,2.75,128,1024,1 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,7 GB,7 GB,1/1/2014
Titanfall: Frontiers Edge,2.6,2.73,512,1024,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,48 GB,48 GB,7/31/2014
Titanfall,2.6,2.73,512,1024,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,48 GB,48 GB,3/13/2014
The Wolf Among Us - Episode 5: Cry Wolf,1.73,2.5,768,768,3 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,7/8/2014
Wing Commander Saga: The Darkest Dawn,1.665,2.53,192,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,6 GB,6 GB,3/22/2012
Where Angels Cry,1.45,2.9,128,64,1 GB,1 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,10/3/2012
The Wolf Among Us - Episode 4: In Sheeps Clothing,1.73,2.5,768,768,3 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,5/27/2014
The Wolf Among Us - Episode 3: A Crooked Mile,1.73,2.5,768,768,3 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,4/8/2014
Warlock: Master of the Arcane: Return of the Elves,,,,,0,0,0,0,0,0,8/2/2012
Tomb Raider Definitive Edition,3.55,3.35,2048,7168,8 GB,16 GB,Windows 7 64-bit,Windows 10 64-bit,40 GB,40 GB,3/18/2021
The Wolf Among Us - Episode 2: Smoke & Mirrors,1.73,2.5,384,896,3 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,2/4/2014
Warlock: Master of the Arcane: Power of the Serpent,,,,,0,0,0,0,0,0,5/29/2012
The Walking Dead: Season 2 - Episode 5: No Going Back,1.73,2.5,256,896,3 GB,3 GB,Windows XP 32-bit,Windows 7 32-bit,2 GB,2 GB,8/26/2014
TheHunter: Primal,2.8,3.2,448,2048,4 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,3 GB,3 GB,12/15/2014
Warp,2.6,2.15,192,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1.5 GB,1.5 GB,3/13/2012
The Walking Dead: Season 2 - Episode 4: Amid The Ruins,1.73,2.5,256,896,3 GB,3 GB,Windows XP 32-bit,Windows 7 32-bit,2 GB,2 GB,7/22/2014
The Walking Dead: Season 2 - Episode 3: In Harms Way,1.73,2.5,256,896,3 GB,3 GB,Windows XP 32-bit,Windows 7 32-bit,2 GB,2 GB,5/13/2014
The Walking Dead: Season 2 - Episode 2: A House Divided,1.73,2.5,256,896,3 GB,3 GB,Windows XP 32-bit,Windows 7 32-bit,2 GB,2 GB,3/4/2014
The Vanishing of Ethan Carter,1.9,3.23,512,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 GB,9/25/2014
The Terminal 2,2.25,3.23,128,1024,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,0MB,8/8/2014
Warlock: Master of the Arcane: Powerful Lords,1.85,2.165,1024,1024,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,4 GB,1 GB,5/8/2012
Thief 2014,2.73,2.73,1024,1792,4 GB,6 GB,Windows Vista 64-bit,Windows 7 64-bit,20 GB,20 GB,2/25/2014
The Tale of ALLTYNEX,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/27/2014
Wargame: European Escalation,2.6,2.565,640,512,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,10 GB,10 GB,2/23/2012
The Survivals Fall,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/9/2014
The Shopkeeper,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/23/2014
The Sacred Tears TRUE,,,,,0,0,0,0,0,0,9/25/2014
The Repopulation,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/19/2014
War of the Immortals: Titans Fury,,,,,0,0,0,0,0,0,10/30/2012
War of the Human Tanks,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,9/14/2012
Warhammer 40000: Space Marine: Iron Hands Chapter,1.95,2.165,384,768,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/25/2012
Warhammer 40000: Space Marine: Death Guard Champion Chapter,1.95,2.3,384,768,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/25/2012
The Stomping Land,2.5,2.465,512,1024,2 GB,4 GB,Windows XP 64-bit,Windows 7 64-bit,4 GB,4 GB,5/30/2014
War in a Box: Paper Tanks,,,,,0,0,0,0,0,0,7/22/2012
War Of The Roses - Winter has Arrived,2.55,2.215,512,1024,4 GB,4 GB,Windows 7 64-bit,Windows 7 64-bit,1 GB,1 GB,12/19/2012
Warface,2.1,3.065,256,512,1.5 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,6 GB,6 GB,10/21/2012
Warlock: Master of the Arcane: Master of Artifacts,,,,,0,0,0,0,0,0,8/2/2012
Warlock: Master of the Arcane,1.85,2.165,1024,1024,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,4 GB,4 GB,5/8/2012
Warhammer 40000: Space Marine: Dreadnought,1.95,2.3,384,768,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/25/2012
War Of The Roses,2.55,2.215,512,1024,4 GB,4 GB,Windows 7 64-bit,Windows 7 64-bit,5 GB,5 GB,10/2/2012
The Sims 4: Holiday Celebration Pack,1.95,3.5,256,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,1 GB,1 GB,12/16/2014
The Sims 4,1.95,3.5,192,1024,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 GB,9/5/2014
The Talos Principle,2.3,3.1,128,1280,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,8 GB,8 GB,12/11/2014
Voxeliens,,,,,0,0,0,0,0,0,4/27/2012
the princess heart,1.5,,64,,0MB,0,Windows XP 32-bit,0,0MB,0,4/9/2014
The Memory of Eldurim,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/7/2014
The Old City: Leviathan,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/3/2014
The Masterplan,2.35,3.23,128,1024,4 GB,4 GB,Windows Vista 64-bit,Windows 7 64-bit,0MB,0,9/15/2014
The Makers Eden,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/30/2014
The Moon Silver,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/3/2014
Waking Mars,2.2,,64,,0MB,0,Windows XP 32-bit,0,0MB,0,12/13/2012
